기준연도,시도코드,시도명,시군구코드,시군구명,분만_A취약지,분만_접근성취약인구비율(백분율),분만_TRI(백분율),소아청소년과_취약지,소아청소년과_접근성취약인구비율(백분율),소아청소년과_TRI(백분율),인공신장실_취약지,인공신장실_접근성취약인구비율(백분율),인공신장실_TRI(백분율),응급_취약지,가임여성인구(백분율),분만건수(건),인구수(명),노인인구비율(백분율),재정자립도(백분율),의료급여 수급자 비율(백분율),면적당종합병원(100제곱킬로미터당 개수),면적당병원(100제곱킬로미터당 개수),면적당의원(100제곱킬로미터당 개수)
2023,51,강원도,51150,강릉시,,0.253361344,87.79069767,,0.2,81.23,,0.395644931,95.08047103,,18.42254785,860,209439,24.68499181,15.1,3.667416288,0.384309618,0.480387022,11.62536593
2023,51,강원도,51170,동해시,,0,66.38418079,,0,10.99,,0,95.7306621,,17.51763047,354,88625,23.53850494,15.6,3.716784203,1.109214863,1.663822295,27.17576415
2023,51,강원도,51190,태백시,,0.097068426,1.075268817,,15.34,0,,0.141115075,85.22829006,Y,15.59867707,93,38702,29.1974575,13.1,4.679344737,0.32955615,0.6591123,7.250235305
2023,51,강원도,51210,속초시,,0,5.621301775,,0,6.21,,0,95.10175226,Y,18.2989251,338,82054,22.54125332,17.5,4.411728861,1.891187381,1.891187381,61.4635899
2023,51,강원도,51230,삼척시,,1.980371638,57.64705882,,7.56,37.03,,3.070073814,78.94305613,Y,15.9406873,255,62651,28.75293291,13.5,4.367049209,0.084186654,0.168373309,2.020479705
2023,51,강원도,51720,홍천군,Y,32.29583491,21.63265306,Y,83.85,2.54,,13.89292024,70.02219314,Y,13.88075889,245,67309,31.62578556,11.7,2.984742011,0.05492777,0.16478331,1.647833101
2023,51,강원도,51730,횡성군,,30.36680407,60.83333333,,33.58,38.57,,13.42744057,74.6008567,Y,12.46575638,120,46359,34.59522423,10.9,3.09540758,0,0.10020018,1.20240216
2023,51,강원도,51750,영월군,,6.006280929,21.42857143,,9.54,31.76,,6.33183394,74.73673654,Y,12.84153005,98,37332,34.03246545,11.5,3.383156541,0.088699056,0.177398112,0.886990559
2023,51,강원도,51760,평창군,Y,94.81824336,0,Y,96.29,1.14,Y,88.01440329,0.0591191,Y,12.5974569,84,40659,33.20544037,11.5,2.582454069,0,0.068293992,0.956115888
2023,51,강원도,51770,정선군,Y,57.35031685,0,,53.36,0,,53.61303972,51.14553082,Y,12.65130694,83,34202,32.89281329,12.3,3.184024326,0,0.16396383,0.655855321
2023,51,강원도,51780,철원군,,1.048723898,13.27014218,,1.03,0.27,,1.489480073,64.23788893,Y,15.9790581,211,41448,26.76365566,9.9,3.720324262,0,0.112343175,1.797490806
2023,51,강원도,51790,화천군,Y,94.06121843,0,Y,95.87,0,Y,89.0170039,8.411214953,Y,15.27795888,128,23007,26.67014387,7,3.485895597,0,0.109999562,0.659997369
2023,51,강원도,51800,양구군,,4.028290827,0,Y,100,17.84,,6.327475482,85.5661882,Y,16.64608663,116,21056,25.06648936,9.6,4.355053191,0,0.453177869,0.755296448
2023,51,강원도,51810,인제군,Y,90.71206326,0,Y,97.72,0.67,Y,87.34515091,5.91440936,Y,16.13054341,198,32020,23.81948782,8.1,2.879450344,0,0.06074605,0.2429842
2023,51,강원도,51820,고성군,,28.56760255,1.449275362,,27.79,3.74,,37.5904797,49.3046641,Y,13.52499542,69,27305,32.12964658,8.3,4.002929866,0,0,0.908036329
2023,51,강원도,51830,양양군,,6.1577033,7.407407407,,4.69,11.11,,5.980512935,81.65137615,Y,13.2262721,81,27710,33.91555395,11.1,4.590400577,0,0,0.952718091
