기준연도,대분류,대분류 코드,중분류,중분류 코드,지역1,지역2,입원건수
2023,입원전체,0,입원 전체,0,26170,11140,5
2023,입원전체,0,입원 전체,0,26200,11140,0
2023,입원전체,0,입원 전체,0,26230,11140,22
2023,입원전체,0,입원 전체,0,26260,11140,9
2023,입원전체,0,입원 전체,0,26290,11140,3
2023,입원전체,0,입원 전체,0,26320,11140,1
2023,입원전체,0,입원 전체,0,26350,11140,10
2023,입원전체,0,입원 전체,0,26380,11140,0
2023,입원전체,0,입원 전체,0,26410,11140,1
2023,입원전체,0,입원 전체,0,26440,11140,0
2023,입원전체,0,입원 전체,0,26470,11140,4
2023,입원전체,0,입원 전체,0,26500,11140,10
2023,입원전체,0,입원 전체,0,26530,11140,4
2023,입원전체,0,입원 전체,0,26710,11140,1
2023,입원전체,0,입원 전체,0,27110,11140,3
2023,입원전체,0,입원 전체,0,27140,11140,12
2023,입원전체,0,입원 전체,0,27170,11140,2
2023,입원전체,0,입원 전체,0,27200,11140,7
2023,입원전체,0,입원 전체,0,27230,11140,9
2023,입원전체,0,입원 전체,0,27260,11140,3
2023,입원전체,0,입원 전체,0,27290,11140,7
2023,입원전체,0,입원 전체,0,27710,11140,0
2023,입원전체,0,입원 전체,0,28110,11140,34
2023,입원전체,0,입원 전체,0,28140,11140,6
2023,입원전체,0,입원 전체,0,28177,11140,26
2023,입원전체,0,입원 전체,0,28185,11140,12
2023,입원전체,0,입원 전체,0,28200,11140,76
2023,입원전체,0,입원 전체,0,28237,11140,50
2023,입원전체,0,입원 전체,0,28245,11140,166
2023,입원전체,0,입원 전체,0,28260,11140,57
2023,입원전체,0,입원 전체,0,28710,11140,2
2023,입원전체,0,입원 전체,0,28720,11140,0
2023,입원전체,0,입원 전체,0,29110,11140,18
2023,입원전체,0,입원 전체,0,29140,11140,14
2023,입원전체,0,입원 전체,0,29155,11140,6
2023,입원전체,0,입원 전체,0,29170,11140,13
2023,입원전체,0,입원 전체,0,29200,11140,16
